"vehicle_type","mfr_name","division","carline","index_(model_type_index)","eng_displ","#_cyl","transmission","city_fe_(guide)_-_conventional_fuel","hwy_fe_(guide)_-_conventional_fuel","comb_fe_(guide)_-_conventional_fuel","air_aspiration_method_desc","trans","trans_desc","#_gears","drive_sys","drive_desc","fuel_usage_desc_-_conventional_fuel","annual_fuel1_cost_-_conventional_fuel","fuel2_epa_calculated_annual_fuel_cost_-_alternative_fuel","carline_class_desc","epa_fe_label_dataset_id","mfr_calculated_gas_guzzler_mpg","$_you_save_over_5_years_(amount_saved_in_fuel_costs_over_5_years_-_on_label)","$_you_spend_over_5_years_(increased_amount_spent_in_fuel_costs_over_5_years_-_on_label)","comb_co2_rounded_adjusted_(as_shown_on_fe_label)","fe_rating_(1-10_rating_on_label)"
"Gas","Volkswagen Group of","Lamborghini","Huracan Coupe",26,"5.2",10,"Auto(AM-S7)",13,18,15,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2950,NA,"Two Seaters",29453,19,NA,8250,596,2
"Gas","Volkswagen Group of","Lamborghini","Huracan Coupe RWD",28,"5.2",10,"Auto(AM-S7)",13,18,15,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2950,NA,"Two Seaters",29393,19,NA,8250,596,2
"Gas","Volkswagen Group of","Lamborghini","Huracan Spyder",25,"5.2",10,"Auto(AM-S7)",13,18,15,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2950,NA,"Two Seaters",29549,19,NA,8250,596,2
"Gas","Volkswagen Group of","Lamborghini","Huracan Spyder RWD",27,"5.2",10,"Auto(AM-S7)",13,18,15,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2950,NA,"Two Seaters",29392,19,NA,8250,596,2
"Gas","Maserati","MASERATI","MC20",50,"3",6,"Auto(S8)",15,25,18,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2450,NA,"Two Seaters",29850,22.8,NA,5750,474,3
"Gas","MAZDA","MAZDA","MX-5",402,"2",4,"Auto(S6)",26,35,30,"Naturally Aspirated","SA","Semi-Automatic",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",1500,NA,"Two Seaters",30716,40.6,NA,1000,299,6
"Gas","MAZDA","MAZDA","MX-5",401,"2",4,"Manual(M6)",26,34,29,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",1550,NA,"Two Seaters",30715,39.6,NA,1250,305,6
"Gas","McLaren Automotive","McLaren","720S Coupe",1,"4",8,"Auto(AM-S7)",15,22,18,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",30441,22.8,NA,5750,505,3
"Gas","McLaren Automotive","McLaren","720S Spider",2,"4",8,"Auto(AM-S7)",15,22,18,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",30442,22.8,NA,5750,505,3
"Gas","McLaren Automotive","McLaren","765LT Spider",3,"4",8,"Auto(AM-S7)",14,18,16,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2750,NA,"Two Seaters",31049,20.2,NA,7250,565,3
"Gas","McLaren Automotive","McLaren","GT",4,"4",8,"Auto(AM-S7)",15,22,18,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2450,NA,"Two Seaters",31050,23.5,NA,5750,504,3
"Gas","Porsche","Porsche","718 Boxster",202,"2",4,"Auto(AM-S7)",21,27,24,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",1850,NA,"Two Seaters",30064,31.5,NA,2750,375,5
"Gas","Porsche","Porsche","718 Boxster",201,"2",4,"Manual(M6)",20,26,22,"Turbocharged","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2000,NA,"Two Seaters",30062,29.8,NA,3500,394,5
"Gas","Porsche","Porsche","718 Boxster GTS 4.0",224,"4",6,"Auto(AM-S7)",19,24,21,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2100,NA,"Two Seaters",30092,27.9,NA,4000,418,4
"Gas","Porsche","Porsche","718 Boxster GTS 4.0",223,"4",6,"Manual(M6)",17,24,19,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2350,NA,"Two Seaters",30094,25.3,NA,5250,458,4
"Gas","Porsche","Porsche","718 Boxster S",222,"2.5",4,"Auto(AM-S7)",19,25,22,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2000,NA,"Two Seaters",30163,28.6,NA,3500,410,5
"Gas","Porsche","Porsche","718 Boxster S",221,"2.5",4,"Manual(M6)",19,24,21,"Turbocharged","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2100,NA,"Two Seaters",30087,27.7,NA,4000,423,4
"Gas","Porsche","Porsche","718 Boxster T",234,"2",4,"Auto(AM-S7)",21,27,23,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",1900,NA,"Two Seaters",30067,31,NA,3000,380,5
"Gas","Porsche","Porsche","718 Boxster T",233,"2",4,"Manual(M6)",20,26,22,"Turbocharged","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2000,NA,"Two Seaters",30063,29.8,NA,3500,394,5
"Gas","Porsche","Porsche","718 Cayman",212,"2",4,"Auto(AM-S7)",21,27,24,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",1850,NA,"Two Seaters",30066,31.5,NA,2750,375,5
"Gas","Porsche","Porsche","718 Cayman",211,"2",4,"Manual(M6)",20,26,22,"Turbocharged","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2000,NA,"Two Seaters",30061,29.8,NA,3500,394,5
"Gas","Porsche","Porsche","718 Cayman GT4",236,"4",6,"Auto(AM-S7)",18,24,20,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2200,NA,"Two Seaters",30097,26.7,NA,4500,436,4
"Gas","Porsche","Porsche","718 Cayman GT4",235,"4",6,"Manual(M6)",17,23,19,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2350,NA,"Two Seaters",30165,25.2,NA,5250,460,4
"Gas","Porsche","Porsche","718 Cayman GTS 4.0",228,"4",6,"Auto(AM-S7)",19,24,21,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2100,NA,"Two Seaters",30091,27.9,NA,4000,418,4
"Gas","Porsche","Porsche","718 Cayman GTS 4.0",227,"4",6,"Manual(M6)",17,24,19,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2350,NA,"Two Seaters",30093,25.3,NA,5250,458,4
"Gas","Porsche","Porsche","718 Cayman S",232,"2.5",4,"Auto(AM-S7)",19,25,22,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2000,NA,"Two Seaters",30164,28.6,NA,3500,410,5
"Gas","Porsche","Porsche","718 Cayman S",231,"2.5",4,"Manual(M6)",19,24,21,"Turbocharged","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2100,NA,"Two Seaters",30088,27.7,NA,4000,423,4
"Gas","Porsche","Porsche","718 Cayman T",244,"2",4,"Auto(AM-S7)",21,27,23,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",1900,NA,"Two Seaters",30068,31,NA,3000,380,5
"Gas","Porsche","Porsche","718 Cayman T",243,"2",4,"Manual(M6)",20,26,22,"Turbocharged","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2000,NA,"Two Seaters",30065,29.8,NA,3500,394,5
"Gas","Porsche","Porsche","718 Spyder",226,"4",6,"Auto(AM-S7)",18,24,20,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2200,NA,"Two Seaters",30095,26.7,NA,4500,436,4
"Gas","Porsche","Porsche","718 Spyder",225,"4",6,"Manual(M6)",17,23,19,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2350,NA,"Two Seaters",30096,25.2,NA,5250,460,4
"Gas","Porsche","Porsche","911 GT3",150,"4",6,"Auto(AM-S7)",15,18,16,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2750,NA,"Two Seaters",29821,21.2,NA,7250,538,3
"Gas","Porsche","Porsche","911 GT3",151,"4",6,"Manual(M6)",14,18,16,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2750,NA,"Two Seaters",29827,20.2,NA,7250,571,3
"Gas","Porsche","Porsche","911 GT3 Touring",152,"4",6,"Auto(AM-S7)",15,18,16,"Naturally Aspirated","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2750,NA,"Two Seaters",29823,21.2,NA,7250,539,3
"Gas","Porsche","Porsche","911 GT3 Touring",153,"4",6,"Manual(M6)",14,18,16,"Naturally Aspirated","M","Manual",6,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2750,NA,"Two Seaters",29824,20.3,NA,7250,570,3
"Gas","BMW","TOYOTA","Supra 2.0",20,"2",4,"Auto(S8)",25,32,28,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",1600,NA,"Two Seaters",29715,37.9,NA,1500,317,6
"Gas","BMW","TOYOTA","Supra 3.0",21,"3",6,"Auto(S8)",22,30,25,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",1750,NA,"Two Seaters",29713,33.5,NA,2250,351,5
"Gas","aston martin","Aston Martin Lagonda Ltd","DB11 V12",2,"5.2",12,"Auto(S8)",14,22,17,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2600,NA,"Minicompact Cars",30761,22,NA,6500,522,3
"Gas","aston martin","Aston Martin Lagonda Ltd","DB11 V8",3,"4",8,"Auto(A8)",18,24,20,"Turbocharged","A","Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2200,NA,"Minicompact Cars",30724,27,NA,4500,431,4
"Gas","aston martin","Aston Martin Lagonda Ltd","DBS",1,"5.2",12,"Auto(S8)",14,22,17,"Turbocharged","SA","Semi-Automatic",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Recommended)",2600,NA,"Minicompact Cars",30749,22,NA,6500,522,3
"Gas","Volkswagen Group of","Bentley","Continental GT Speed Convertible",75,"6",12,"Auto(AM-S8)",12,18,14,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Recommended)",3150,NA,"Minicompact Cars",30185,17.7,NA,9250,636,2
"Gas","Volkswagen Group of","Bentley","Continental GT V8 Convertible",40,"4",8,"Auto(AM-S8)",16,26,19,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Recommended)",2350,NA,"Minicompact Cars",29566,23.2,NA,5250,473,4
"Gas","Ferrari","Ferrari North America, Inc.","Portofino M",165,"3.9",8,"Auto(AM8)",16,23,19,"Turbocharged","AM","Automated Manual",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2350,NA,"Minicompact Cars",30177,24.3,NA,5250,471,4
"Gas","Toyota","LEXUS","LC 500 CONVERTIBLE",94,"5",8,"Auto(S10)",15,25,18,"Naturally Aspirated","SA","Semi-Automatic",10,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2450,NA,"Minicompact Cars",30455,23.5,NA,5750,489,3
"Gas","Mercedes-Benz","Mercedes-Benz","AMG SL 55 4MATIC+",232,"4",8,"Auto(A9)",14,21,16,"Turbocharged","A","Automatic",9,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2750,NA,"Minicompact Cars",31433,20.9,NA,7250,546,3
"Gas","Mercedes-Benz","Mercedes-Benz","AMG SL 63 4MATIC+",231,"4",8,"Auto(A9)",14,21,16,"Turbocharged","A","Automatic",9,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2750,NA,"Minicompact Cars",31432,20.9,NA,7250,546,3
"Gas","BMW","Mini","COOPER CONVERTIBLE",36,"1.5",3,"Auto(AM-S7)",29,38,32,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"F","2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)",1400,NA,"Minicompact Cars",29019,44.6,NA,500,273,7
"Gas","BMW","Mini","COOPER CONVERTIBLE",37,"1.5",3,"Manual(M6)",27,37,31,"Turbocharged","M","Manual",6,"F","2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)",1450,NA,"Minicompact Cars",29020,42.6,NA,750,284,7
"Gas","BMW","Mini","COOPER S CONVERTIBLE",58,"2",4,"Auto(AM-S7)",27,36,30,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",7,"F","2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)",1500,NA,"Minicompact Cars",29095,41.2,NA,1000,293,6
"Gas","BMW","Mini","COOPER S CONVERTIBLE",59,"2",4,"Manual(M6)",23,33,26,"Turbocharged","M","Manual",6,"F","2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)",1700,NA,"Minicompact Cars",29028,35.5,NA,2000,335,5
"Gas","BMW","Mini","JOHN COOPER WORKS CONVERTIBLE",82,"2",4,"Auto(S8)",24,33,28,"Turbocharged","SA","Semi-Automatic",8,"F","2-Wheel Drive, Front","Gasoline (Premium Unleaded Recommended)",1600,NA,"Minicompact Cars",29082,37.3,NA,1500,319,6
"Gas","Porsche","Porsche","911 Carrera",102,"3",6,"Auto(AM-S8)",18,24,20,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"R","2-Wheel Drive, Rear","Gasoline (Premium Unleaded Required)",2200,NA,"Minicompact Cars",29969,28.1,NA,4500,443,4
"Gas","Porsche","Porsche","911 Carrera 4",116,"3",6,"Auto(AM-S8)",18,24,20,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2200,NA,"Minicompact Cars",29980,27.8,NA,4500,442,4
"Gas","Porsche","Porsche","911 Carrera 4 Cabriolet",118,"3",6,"Auto(AM-S8)",18,24,20,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2200,NA,"Minicompact Cars",29979,27.5,NA,4500,443,4
"Gas","Porsche","Porsche","911 Carrera 4 GTS",134,"3",6,"Auto(AM-S8)",17,23,19,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2350,NA,"Minicompact Cars",30941,26.1,NA,5250,464,4
"Gas","Porsche","Porsche","911 Carrera 4 GTS",135,"3",6,"Manual(M7)",17,23,19,"Turbocharged","M","Manual",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2350,NA,"Minicompact Cars",30942,25.6,NA,5250,465,4
"Gas","Porsche","Porsche","911 Carrera 4 GTS Cabriolet",136,"3",6,"Auto(AM-S8)",17,22,19,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2350,NA,"Minicompact Cars",30946,25.4,NA,5250,463,4
"Gas","Porsche","Porsche","911 Carrera 4 GTS Cabriolet",137,"3",6,"Manual(M7)",16,23,19,"Turbocharged","M","Manual",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2350,NA,"Minicompact Cars",30945,25.3,NA,5250,477,4
"Gas","Porsche","Porsche","911 Carrera 4S",112,"3",6,"Auto(AM-S8)",18,23,20,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2200,NA,"Minicompact Cars",29976,26.6,NA,4500,443,4
"Gas","Porsche","Porsche","911 Carrera 4S",111,"3",6,"Manual(M7)",17,25,20,"Turbocharged","M","Manual",7,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2200,NA,"Minicompact Cars",29975,27.1,NA,4500,442,4
"Gas","Porsche","Porsche","911 Carrera 4S Cabriolet",114,"3",6,"Auto(AM-S8)",18,23,20,"Turbocharged","AMS","Automated Manual- Selectable (e.g. Automated Manual with paddles)",8,"A","All Wheel Drive","Gasoline (Premium Unleaded Required)",2200,NA,"Minicompact Cars",29978,26.8,NA,4500,439,4
